Month_Year,Month,Year,WW_samples,Clinical_consensus_seqs
01_2025,01,2025,4,
02_2025,02,2025,1,24
03_2024,03,2024,16,8
03_2025,03,2025,2,
03_2026,03,2026,1,
04_2024,04,2024,40,
04_2025,04,2025,1,
05_2024,05,2024,28,8
05_2025,05,2025,1,
06_2024,06,2024,15,
06_2025,06,2025,2,
06_2026,06,2026,7,
07_2024,07,2024,9,32
07_2026,07,2026,1,
08_2024,08,2024,4,
09_2024,09,2024,1,
10_2024,10,2024,1,104
10_2025,10,2025,0,8
11_2024,11,2024,0,40
12_2022,12,2022,1,
12_2024,12,2024,1,40
Total,,,136,264
